decade,rank,track_name,artist_name,streams,country
1990s,1,One Sweet Day,Mariah Carey & Boyz II Men,499247240,USA
1990s,2,Macarena (Bayside Boys Mix),Los Del Rio,472704285,USA
1990s,3,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,443191963,USA
1990s,4,I'll Make Love to You,Boyz II Men,415883950,USA
1990s,5,I Will Always Love You,Whitney Houston,388310591,USA
1990s,6,Gangsta's Paradise,Coolio feat. L.V.,364887978,USA
1990s,7,End of the Road,Boyz II Men,342283392,USA
1990s,8,Smooth,Santana feat. Rob Thomas,326435853,USA
1990s,9,Un-Break My Heart,Toni Braxton,305391159,USA
1990s,10,The Sign,Ace of Base,287745836,USA
1990s,11,One Sweet Day,Mariah Carey & Boyz II Men,266431064,USA
1990s,12,Macarena (Bayside Boys Mix),Los Del Rio,255968562,USA
1990s,13,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,239954813,USA
1990s,14,I'll Make Love to You,Boyz II Men,221956582,USA
1990s,15,I Will Always Love You,Whitney Houston,208352544,USA
1990s,16,Gangsta's Paradise,Coolio feat. L.V.,195746326,USA
1990s,17,End of the Road,Boyz II Men,184612598,USA
1990s,18,Smooth,Santana feat. Rob Thomas,174788455,USA
1990s,19,Un-Break My Heart,Toni Braxton,163753191,USA
1990s,20,The Sign,Ace of Base,153059205,USA
1990s,21,One Sweet Day,Mariah Carey & Boyz II Men,145724237,USA
1990s,22,Macarena (Bayside Boys Mix),Los Del Rio,134186896,USA
1990s,23,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,126921805,USA
1990s,24,I'll Make Love to You,Boyz II Men,119676972,USA
1990s,25,I Will Always Love You,Whitney Houston,112986492,USA
1990s,26,Gangsta's Paradise,Coolio feat. L.V.,108166124,USA
1990s,27,End of the Road,Boyz II Men,98265807,USA
1990s,28,Smooth,Santana feat. Rob Thomas,94149105,USA
1990s,29,Un-Break My Heart,Toni Braxton,88974364,USA
1990s,30,The Sign,Ace of Base,80393386,USA
1990s,31,One Sweet Day,Mariah Carey & Boyz II Men,78773072,USA
1990s,32,Macarena (Bayside Boys Mix),Los Del Rio,71463279,USA
1990s,33,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,66424036,USA
1990s,34,I'll Make Love to You,Boyz II Men,67585016,USA
1990s,35,I Will Always Love You,Whitney Houston,63791993,USA
1990s,36,Gangsta's Paradise,Coolio feat. L.V.,59188693,USA
1990s,37,End of the Road,Boyz II Men,52725693,USA
1990s,38,Smooth,Santana feat. Rob Thomas,48250162,USA
1990s,39,Un-Break My Heart,Toni Braxton,48729680,USA
1990s,40,The Sign,Ace of Base,44407740,USA
1990s,41,One Sweet Day,Mariah Carey & Boyz II Men,39813044,USA
1990s,42,Macarena (Bayside Boys Mix),Los Del Rio,39527028,USA
1990s,43,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,34388939,USA
1990s,44,I'll Make Love to You,Boyz II Men,37407574,USA
1990s,45,I Will Always Love You,Whitney Houston,31407232,USA
1990s,46,Gangsta's Paradise,Coolio feat. L.V.,31858413,USA
1990s,47,End of the Road,Boyz II Men,27900549,USA
1990s,48,Smooth,Santana feat. Rob Thomas,27408874,USA
1990s,49,Un-Break My Heart,Toni Braxton,25931419,USA
1990s,50,The Sign,Ace of Base,22221215,USA
1990s,51,One Sweet Day,Mariah Carey & Boyz II Men,25482871,USA
1990s,52,Macarena (Bayside Boys Mix),Los Del Rio,22956238,USA
1990s,53,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,22664108,USA
1990s,54,I'll Make Love to You,Boyz II Men,21194452,USA
1990s,55,I Will Always Love You,Whitney Houston,18283358,USA
1990s,56,Gangsta's Paradise,Coolio feat. L.V.,19165446,USA
1990s,57,End of the Road,Boyz II Men,13167104,USA
1990s,58,Smooth,Santana feat. Rob Thomas,12873877,USA
1990s,59,Un-Break My Heart,Toni Braxton,11087465,USA
1990s,60,The Sign,Ace of Base,11939117,USA
1990s,61,One Sweet Day,Mariah Carey & Boyz II Men,11539970,USA
1990s,62,Macarena (Bayside Boys Mix),Los Del Rio,10103526,USA
1990s,63,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,12759331,USA
1990s,64,I'll Make Love to You,Boyz II Men,9280212,USA
1990s,65,I Will Always Love You,Whitney Houston,8216917,USA
1990s,66,Gangsta's Paradise,Coolio feat. L.V.,9215608,USA
1990s,67,End of the Road,Boyz II Men,6267411,USA
1990s,68,Smooth,Santana feat. Rob Thomas,9729736,USA
1990s,69,Un-Break My Heart,Toni Braxton,4888864,USA
1990s,70,The Sign,Ace of Base,9916389,USA
1990s,71,One Sweet Day,Mariah Carey & Boyz II Men,8208831,USA
1990s,72,Macarena (Bayside Boys Mix),Los Del Rio,4373135,USA
1990s,73,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,2843123,USA
1990s,74,I'll Make Love to You,Boyz II Men,7354160,USA
1990s,75,I Will Always Love You,Whitney Houston,6374852,USA
1990s,76,Gangsta's Paradise,Coolio feat. L.V.,6199728,USA
1990s,77,End of the Road,Boyz II Men,6163766,USA
1990s,78,Smooth,Santana feat. Rob Thomas,1708243,USA
1990s,79,Un-Break My Heart,Toni Braxton,3158931,USA
1990s,80,The Sign,Ace of Base,1462863,USA
1990s,81,One Sweet Day,Mariah Carey & Boyz II Men,5720210,USA
1990s,82,Macarena (Bayside Boys Mix),Los Del Rio,4068883,USA
1990s,83,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,2114737,USA
1990s,84,I'll Make Love to You,Boyz II Men,1000000,USA
1990s,85,I Will Always Love You,Whitney Houston,1630986,USA
1990s,86,Gangsta's Paradise,Coolio feat. L.V.,1550287,USA
1990s,87,End of the Road,Boyz II Men,3820873,USA
1990s,88,Smooth,Santana feat. Rob Thomas,3121986,USA
1990s,89,Un-Break My Heart,Toni Braxton,4482119,USA
1990s,90,The Sign,Ace of Base,1862602,USA
1990s,91,One Sweet Day,Mariah Carey & Boyz II Men,1000000,USA
1990s,92,Macarena (Bayside Boys Mix),Los Del Rio,3072569,USA
1990s,93,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,3250224,USA
1990s,94,I'll Make Love to You,Boyz II Men,1952046,USA
1990s,95,I Will Always Love You,Whitney Houston,3115123,USA
1990s,96,Gangsta's Paradise,Coolio feat. L.V.,1362735,USA
1990s,97,End of the Road,Boyz II Men,1452360,USA
1990s,98,Smooth,Santana feat. Rob Thomas,1000000,USA
1990s,99,Un-Break My Heart,Toni Braxton,1000000,USA
1990s,100,The Sign,Ace of Base,1000000,USA
2000s,1,We Belong Together,Mariah Carey,497188575,USA
2000s,2,Yeah!,Usher feat. Lil Jon & Ludacris,470818462,USA
2000s,3,Low,Flo Rida feat. T-Pain,440686135,USA
2000s,4,I Gotta Feeling,The Black Eyed Peas,415343424,USA
2000s,5,Apologize,Timbaland feat. OneRepublic,392819878,USA
2000s,6,Bleeding Love,Leona Lewis,365447764,USA
2000s,7,How You Remind Me,Nickelback,344397188,USA
2000s,8,No One,Alicia Keys,325772103,USA
2000s,9,Fallin',Alicia Keys,303157258,USA
2000s,10,Boom Boom Pow,The Black Eyed Peas,283959280,USA
2000s,11,We Belong Together,Mariah Carey,268046065,USA
2000s,12,Yeah!,Usher feat. Lil Jon & Ludacris,251116431,USA
2000s,13,Low,Flo Rida feat. T-Pain,240538343,USA
2000s,14,I Gotta Feeling,The Black Eyed Peas,225531270,USA
2000s,15,Apologize,Timbaland feat. OneRepublic,211062017,USA
2000s,16,Bleeding Love,Leona Lewis,199874662,USA
2000s,17,How You Remind Me,Nickelback,187609177,USA
2000s,18,No One,Alicia Keys,172759337,USA
2000s,19,Fallin',Alicia Keys,166516875,USA
2000s,20,Boom Boom Pow,The Black Eyed Peas,154547883,USA
2000s,21,We Belong Together,Mariah Carey,146897761,USA
2000s,22,Yeah!,Usher feat. Lil Jon & Ludacris,138726481,USA
2000s,23,Low,Flo Rida feat. T-Pain,127076958,USA
2000s,24,I Gotta Feeling,The Black Eyed Peas,118139112,USA
2000s,25,Apologize,Timbaland feat. OneRepublic,111617684,USA
2000s,26,Bleeding Love,Leona Lewis,106017715,USA
2000s,27,How You Remind Me,Nickelback,101975853,USA
2000s,28,No One,Alicia Keys,96228082,USA
2000s,29,Fallin',Alicia Keys,85461589,USA
2000s,30,Boom Boom Pow,The Black Eyed Peas,83179167,USA
2000s,31,We Belong Together,Mariah Carey,77632269,USA
2000s,32,Yeah!,Usher feat. Lil Jon & Ludacris,71772781,USA
2000s,33,Low,Flo Rida feat. T-Pain,66752919,USA
2000s,34,I Gotta Feeling,The Black Eyed Peas,63917394,USA
